Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
NC State,58,31,27,0,1426,328,49,10,63,229,60,10,189,45,5,18,379.2,235,187,3.45,339,194,56,7,1139,365,67,24,No,No,ACC,5,1
Nebraska,52,21,31,0,1342,358,78,11,44,254,75,16,184,31,13,16,328.2,276,216,4.6,250,185,22,3,986,376,77,18,No,No,Big Ten,6,3
Nevada,52,27,25,0,1380,384,79,7,37,240,20,9,156,22,6,23,335,213,175,3.66,290,130,26,8,1005,353,46,11,No,No,MWC,2,0
New Mexico,53,12,41,0,1281,296,56,8,34,189,10,3,179,20,7,5,317.1,375,302,6.66,197,205,30,3,952,321,76,6,No,No,MWC,2,0
New Mexico St.,55,33,22,0,1427,411,74,5,70,287,48,15,164,35,11,14,362,225,177,3.42,329,134,43,10,1086,357,55,20,No,No,WAC,1,0
Niagara,50,18,32,0,1264,298,59,2,22,160,18,3,134,19,6,37,320,228,186,4.07,264,152,32,3,960,344,69,9,No,No,MAAC,1,0
Nicholls St.,56,34,22,0,1436,384,58,10,35,230,37,12,122,27,17,48,372.2,151,119,2.24,246,106,16,13,1118,374,51,11,No,No,Southland,1,0
Norfolk St.,45,25,20,0,1206,326,54,4,26,200,90,14,114,29,10,17,304.1,178,116,2.67,155,75,18,8,913,435,80,19,No,No,MEAC,1,0
North Ala.,46,26,20,0,1247,336,40,9,18,159,38,7,83,40,8,35,313.1,138,110,2.46,279,139,27,11,938,285,34,9,No,No,Atlantic Sun,1,0
North Carolina,53,35,18,0,1342,394,44,17,28,265,117,35,193,30,14,18,347,178,151,3.05,287,129,33,14,1041,421,44,20,At-large,No,ACC,5,1
North Dakota,56,22,34,0,1517,380,65,12,20,212,37,12,146,38,11,17,368.1,286,214,4.07,222,180,33,0,1105,589,76,23,No,No,Summit,1,0
North Dakota St.,56,42,14,0,1480,458,62,9,48,299,58,16,150,10,8,55,374,148,131,2.45,300,131,28,20,1122,433,39,5,Auto,No,Summit,1,0
North Florida,54,30,24,0,1406,392,52,12,24,199,54,17,107,35,9,29,356,182,144,2.83,238,117,60,8,1068,477,57,25,No,No,Atlantic Sun,1,0
