Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16
St. John's (NY),31,10,21,0,795,211,41,7,21,124,48,4,65,33,9,8,195,186,155,5.56,1,118,144,27,585,260,46,8,No,No,No,Big East,1,0
Stanford,55,33,22,0,1431,377,62,20,22,224,54,8,115,29,16,20,370.2,159,125,2.36,13,280,118,29,1112,492,58,15,Yes,No,No,Pac-12,6,4
Stetson,34,8,26,0,919,225,28,3,11,100,62,15,79,22,4,21,230,167,125,3.8,1,131,96,18,690,241,38,7,No,No,No,ASUN,2,0
Stony Brook,43,27,16,0,1151,307,43,5,25,178,35,4,89,39,14,36,289.2,109,85,2.05,12,326,78,23,869,269,37,3,No,No,No,America East,1,0
Syracuse,44,20,24,0,1116,242,46,4,27,147,51,14,89,34,10,28,294,207,171,4.07,3,236,137,30,882,272,37,14,No,No,No,ACC,5,2
Tarleton St.,53,17,36,0,1317,316,36,4,37,184,28,2,118,40,12,27,325,325,276,5.94,2,158,222,40,975,405,45,17,No,No,No,WAC,1,0
Tennessee,57,42,15,0,1459,440,83,14,64,313,95,13,169,44,13,11,369.2,132,95,1.8,18,361,99,37,1109,348,40,19,Yes,No,No,SEC,12,7
Tennessee St.,42,9,33,0,1079,221,28,11,14,95,16,3,85,20,4,23,275,198,153,3.89,1,176,90,24,825,301,73,10,No,No,No,OVC,1,0
Tennessee Tech,49,19,30,0,1329,328,51,2,24,162,37,5,103,15,7,12,324,213,173,3.74,2,188,137,36,972,308,55,9,No,No,No,OVC,1,0
Texas,57,43,14,0,1495,512,79,7,78,366,65,10,176,34,20,23,363.1,168,134,2.58,16,280,100,45,1090,406,66,26,Yes,Yes,No,Big 12,5,3
Texas A&M,55,32,23,0,1377,384,73,6,70,288,61,17,203,32,10,17,358.2,185,149,2.91,13,298,182,50,1076,375,48,13,Yes,No,No,SEC,12,7
Texas Southern,37,17,20,0,946,270,31,15,8,140,43,10,112,10,9,32,237.2,145,118,3.48,6,177,88,13,713,243,41,9,No,No,No,SWAC,1,0
Texas St.,53,39,14,0,1353,377,60,5,47,235,90,19,146,19,9,23,361,129,103,2,14,310,98,35,1083,378,45,12,Yes,No,No,Sun Belt,4,0
Texas Tech,47,21,26,0,1234,323,44,6,30,182,40,6,101,24,9,22,310.2,222,196,4.42,7,290,183,43,932,290,31,16,No,No,No,Big 12,5,3
Toledo,53,31,22,0,1417,424,73,8,30,276,44,23,159,24,19,24,350,267,194,3.88,3,254,135,36,1050,334,56,13,No,No,No,MAC,1,0
Towson,31,14,17,0,807,233,54,4,12,139,33,7,72,16,7,7,204,193,147,5.04,3,111,126,17,612,253,53,5,No,No,No,CAA,1,0
Troy,54,37,17,0,1441,409,98,9,44,284,31,5,173,36,11,18,357.1,163,118,2.31,12,368,140,20,1072,307,46,5,Yes,No,No,Sun Belt,4,0
Tulsa,41,25,16,0,1114,307,40,5,29,198,42,4,135,40,10,15,274.1,151,118,3.01,10,265,80,24,823,268,45,10,No,No,No,AAC,3,0
UAB,50,31,19,0,1296,359,74,8,25,230,33,16,142,43,15,9,337.1,179,134,2.78,8,308,98,24,1012,352,44,12,No,No,No,C-USA,1,0
UC Davis,43,19,24,0,1195,314,50,8,18,141,46,8,108,30,7,13,296.1,192,158,3.73,2,236,97,19,889,360,47,10,No,No,No,Big West,1,0
UC Riverside,33,7,26,0,861,207,34,2,12,90,32,6,60,19,2,21,217.1,201,172,5.54,1,124,123,28,652,277,44,8,No,No,No,Big West,1,0
UC San Diego,35,16,19,0,933,258,37,3,23,160,46,11,83,36,7,43,237,157,120,3.54,3,153,83,31,711,308,42,12,No,No,No,Big West,1,0
UC Santa Barbara,46,15,31,0,1208,346,44,19,6,159,34,13,89,31,14,22,290,263,207,5,3,167,135,43,870,268,62,6,No,No,No,Big West,1,0
UCF,61,41,19,1,1635,492,75,6,57,301,83,17,172,22,13,39,408.1,170,143,2.45,16,336,142,31,1224,413,57,15,Yes,No,No,AAC,3,0
UCLA,54,47,7,0,1388,436,80,8,76,325,64,12,188,27,17,10,348,86,71,1.43,23,431,69,32,1044,312,37,11,Yes,Yes,Yes,Pac-12,6,4
UConn,42,22,20,0,1132,296,49,4,32,173,88,16,109,33,9,31,280.2,157,130,3.24,2,247,138,23,842,247,26,8,No,No,No,Big East,1,0
UIC,52,29,23,0,1378,387,70,16,34,259,79,13,122,30,10,41,348.1,211,163,3.28,4,142,101,24,1045,473,65,23,Yes,No,No,Horizon,1,0
UMass Lowell,31,13,18,0,824,208,25,6,23,117,19,3,86,16,3,11,201.1,116,87,3.02,4,178,86,16,604,193,39,4,No,No,No,America East,1,0
UMBC,38,25,13,0,995,279,55,11,15,164,45,8,78,16,7,9,247.2,131,84,2.37,14,295,86,14,743,237,49,11,Yes,No,No,America East,1,0
UMKC,55,29,26,0,1545,422,60,12,38,250,86,12,143,34,14,20,376.2,241,201,3.74,3,275,116,16,1130,371,64,11,No,No,No,Summit,1,0
UNC Greensboro,51,34,17,0,1329,365,76,5,90,319,6,3,216,50,5,18,335.1,207,162,3.38,6,295,149,31,1006,358,59,12,Yes,No,No,Southern,1,0
UNCW,38,15,23,0,974,249,35,4,12,144,45,11,83,29,8,15,247,204,146,4.14,3,118,137,16,741,249,54,8,No,No,No,CAA,1,0
UNI,52,32,20,0,1351,358,71,7,58,269,32,9,226,36,13,3,341,192,158,3.24,7,286,113,30,1023,402,62,12,Yes,No,No,MVC,2,0
UNLV,40,25,15,0,1036,296,53,4,39,193,43,5,106,20,11,11,261.1,132,116,3.11,12,234,113,18,784,243,24,8,No,No,No,MWC,1,0
USC Upstate,46,29,17,0,1242,343,57,7,26,222,91,11,108,33,8,28,309.1,151,126,2.85,8,252,103,28,928,334,28,18,No,No,No,ASUN,2,0
UT Arlington,51,17,34,0,1303,321,39,4,23,181,39,9,134,14,7,40,333,244,201,4.23,5,153,178,29,999,353,49,13,No,No,No,Sun Belt,4,0
UT Martin,46,27,19,0,1289,398,75,10,34,236,62,6,86,18,5,54,307.2,166,129,2.93,9,266,105,20,923,295,44,9,No,No,No,OVC,1,0
Utah,55,22,33,0,1429,381,36,13,46,237,58,16,125,32,13,23,353.2,292,253,5.01,2,185,133,21,1061,440,74,23,No,No,No,Pac-12,6,4
Utah St.,44,14,30,0,1208,303,37,6,41,162,16,5,87,22,6,7,295,236,209,4.96,2,172,101,16,885,356,48,13,No,No,No,MWC,1,0
Utah Valley,52,24,28,0,1397,392,68,16,46,261,19,8,128,21,21,8,332.2,274,236,4.97,6,236,131,38,998,331,50,12,No,No,No,WAC,1,0
UTEP,37,11,26,0,933,254,43,1,24,136,12,5,93,22,10,19,231.2,290,227,6.86,1,90,122,27,694,278,62,15,No,No,No,C-USA,1,0
UTSA,46,15,31,0,1165,273,35,6,53,176,14,2,153,24,2,3,291.2,229,193,4.63,2,178,116,30,875,366,62,17,No,No,No,C-USA,1,0
Valparaiso,40,5,35,0,955,207,30,6,12,83,22,7,70,22,6,18,241.1,277,236,6.85,1,138,126,19,724,251,49,13,No,No,No,MVC,2,0
Villanova,52,37,15,0,1393,413,73,7,59,293,36,8,187,30,17,5,345.1,186,156,3.16,11,286,97,40,1036,399,44,10,Yes,No,No,Big East,1,0
Virginia,48,15,33,0,1242,281,46,9,24,143,27,8,128,26,7,25,321.1,229,186,4.05,4,233,140,38,964,385,59,19,No,No,No,ACC,5,2
Virginia Tech,52,37,15,0,1396,414,69,15,60,286,80,8,122,29,19,12,339.2,114,89,1.83,16,397,87,28,1019,284,44,16,Yes,Yes,No,ACC,5,2
Wagner,33,12,21,0,855,258,42,6,10,135,12,1,81,16,6,19,203.1,178,143,4.92,4,129,83,11,610,225,40,1,No,No,No,Northeast,1,0
Washington,59,45,14,0,1538,494,95,10,70,339,63,10,183,43,25,24,374,153,137,2.56,20,478,137,22,1122,368,24,15,Yes,Yes,No,Pac-12,6,4
Weber St.,44,25,19,0,1195,377,74,18,31,243,22,3,112,16,11,31,281.2,189,159,3.95,4,158,118,29,845,364,55,13,No,No,No,Big Sky,1,0
Western Caro.,53,27,26,0,1317,328,48,2,37,190,45,13,144,13,9,36,345.1,210,171,3.47,8,258,157,46,1036,320,47,17,No,No,No,Southern,1,0
Western Ill.,45,16,29,0,1114,269,45,4,27,142,17,11,124,20,15,25,288.1,221,182,4.42,3,258,81,18,865,302,52,9,No,No,No,Summit,1,0
Western Ky.,47,32,15,0,1297,396,75,5,48,248,61,11,142,17,14,41,322,140,111,2.41,7,281,151,21,966,336,46,20,Yes,No,No,C-USA,1,0
Western Mich.,52,15,37,0,1390,393,58,5,30,198,11,7,96,28,5,46,327.2,324,254,5.43,0,215,180,19,983,344,64,14,No,No,No,MAC,1,0
Wichita St.,55,41,13,1,1457,456,75,11,103,374,32,9,200,37,12,22,357.1,211,177,3.47,7,277,141,43,1072,474,44,10,Yes,No,No,AAC,3,0
Winthrop,50,26,24,0,1252,312,41,5,49,206,88,10,155,39,14,19,331.2,188,155,3.27,6,291,113,21,995,281,45,7,No,No,No,Big South,1,0
Wisconsin,40,18,22,0,1033,252,52,13,25,146,54,19,115,24,3,32,276.2,136,98,2.48,7,181,59,28,829,375,38,8,No,No,No,Big Ten,3,0
Youngstown St.,51,36,15,0,1362,378,63,6,34,259,30,8,116,38,10,39,345.2,159,117,2.37,9,377,165,31,1037,379,51,13,No,No,No,Horizon,1,0
