Team,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16,,,,,,,,,,,,,,,,,,,
Tulsa,49,18,30,1,1259,318,57,10,23,191,28,11,129,34,12,18,315.1,273,211,4.68,4,247,159,35,946,331,48,12,No,No,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
UAB,49,25,24,0,1298,348,61,13,18,211,27,14,104,37,17,16,332.2,218,168,3.54,9,236,111,25,992,455,55,27,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
UC Davis,52,23,29,0,1377,333,45,9,18,164,47,13,123,38,10,25,357.1,199,139,2.72,5,285,120,18,"1,071",437,81,15,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
UC Riverside,49,25,24,0,1276,354,71,9,27,240,47,8,159,43,19,19,329,207,160,3.4,5,305,121,31,987,344,65,22,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
UC San Diego,53,27,26,0,1352,337,61,9,21,186,69,16,135,33,11,51,357.2,174,143,2.8,5,361,105,32,"1,073",389,59,6,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
UC Santa Barbara,54,15,39,0,1368,380,66,14,12,203,45,9,93,31,14,25,338,363,292,6.05,3,205,269,53,"1,017",316,61,15,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
UCF,58,46,12,0,1505,449,70,15,38,341,87,15,226,37,12,25,383.1,164,123,2.25,17,314,159,22,"1,150",466,56,22,Yes,Yes,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
UCLA,51,43,8,0,1285,410,81,13,54,319,56,16,140,32,14,27,328.2,86,66,1.41,20,429,69,20,986,287,36,6,Yes,Yes,Yes,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
UConn,56,38,18,0,1474,411,69,11,38,287,131,19,178,31,15,20,366.2,185,149,2.84,13,395,113,46,"1,100",270,47,11,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
UIC,45,13,32,0,1172,279,51,12,16,147,23,10,94,30,7,34,299.2,237,164,3.83,3,157,128,41,896,423,81,20,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
UMass Lowell,48,28,20,0,1287,337,73,4,31,209,46,9,127,27,12,10,314.2,180,145,3.23,10,283,107,26,943,286,44,11,No,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
UMBC,41,31,10,0,1085,306,44,1,42,170,27,10,83,17,6,15,279,123,83,2.08,15,422,79,11,837,195,58,9,Yes,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
UMES,51,18,33,0,1339,385,57,12,10,219,101,17,101,15,18,33,322.1,327,222,4.82,3,166,173,46,967,448,94,21,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
UMKC,47,13,34,0,1192,272,45,7,26,145,43,7,140,11,7,16,301.1,252,211,4.9,4,181,98,26,904,304,54,11,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
UNC Greensboro,57,39,18,0,1520,411,78,7,102,327,8,1,187,47,17,22,388.2,201,159,2.86,6,354,133,30,"1,166",312,58,17,No,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
UNCW,45,32,13,0,1104,299,45,12,18,207,110,18,126,35,10,32,303,114,75,1.73,10,295,95,26,909,268,44,12,Yes,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
UNI,46,32,14,0,1203,334,63,6,66,262,80,16,182,15,16,6,309,148,105,2.38,6,378,120,31,927,269,51,11,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
UNLV,52,39,13,0,1367,433,54,13,59,313,25,6,181,44,17,29,343,160,139,2.84,14,336,125,20,"1,029",330,33,17,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
USC Upstate,58,48,10,0,1467,456,85,5,44,331,130,8,131,38,11,47,378.2,122,102,1.89,24,427,98,25,"1,136",363,33,11,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
UT Arlington,49,22,27,0,1188,295,44,3,30,179,40,13,158,8,7,40,317,242,191,4.22,4,166,143,34,951,474,79,14,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
UT Martin,53,34,19,0,1438,439,67,9,39,307,50,2,136,29,15,36,340.1,168,138,2.84,7,259,100,19,"1,021",327,41,12,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Utah,54,27,27,0,1431,411,55,9,39,257,85,18,129,34,14,32,356,210,185,3.64,8,298,93,30,"1,068",413,52,17,No,No,No,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Utah St.,56,28,28,0,1501,387,68,5,44,283,57,6,177,35,22,16,374,299,233,4.36,4,195,128,22,"1,122",508,85,29,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
Utah Valley,51,24,27,0,1385,432,73,3,41,282,61,8,153,35,13,26,325.1,324,280,6.02,4,227,100,39,976,317,61,14,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
UTEP,49,15,34,0,1196,278,49,4,23,148,31,5,117,22,7,16,302.2,314,271,6.27,1,180,154,33,908,342,73,22,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
UTSA,48,18,30,0,1260,312,46,5,65,218,5,3,180,19,9,3,308.1,268,224,5.09,4,177,170,30,925,339,59,19,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Valparaiso,47,14,33,0,1180,288,46,5,11,141,50,7,79,13,4,25,293.2,274,210,5.01,4,183,156,25,881,358,62,13,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Villanova,54,32,22,0,1444,382,74,6,51,229,46,11,158,35,12,5,360.2,180,134,2.6,9,293,105,29,"1,087",445,49,11,Yes,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
Virginia,51,27,24,0,1339,337,72,5,38,226,66,18,151,29,12,10,334.2,202,180,3.76,4,212,127,21,"1,004",369,35,15,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Virginia Tech,48,41,7,0,1348,429,67,18,57,298,56,13,134,17,10,4,323.1,107,89,1.93,12,512,105,19,970,212,33,2,Yes,Yes,Yes,ACC,7,4,,,,,,,,,,,,,,,,,,,
Wagner,48,19,29,0,1284,333,55,6,13,151,12,4,92,20,10,38,323,195,164,3.55,4,231,107,19,969,285,44,9,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
Washington,50,35,15,0,1288,369,71,9,80,294,44,9,172,41,14,25,323.2,145,133,2.88,13,384,127,41,971,321,29,11,Yes,No,No,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Weber St.,48,38,10,0,1270,397,66,11,44,304,54,9,150,22,15,26,308.2,155,123,2.79,13,298,130,18,926,331,34,12,Yes,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
Western Caro.,53,19,34,0,1359,322,52,2,51,206,71,18,131,35,4,12,347.1,251,198,3.99,3,281,117,33,"1,042",366,56,17,No,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
Western Ill.,45,8,37,0,1052,221,26,6,9,79,19,7,92,20,3,14,265.1,282,223,5.88,2,225,130,32,796,299,69,6,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
Western Ky.,51,38,13,0,1339,406,74,7,38,274,83,12,164,16,11,30,333.2,145,114,2.39,11,259,92,21,"1,001",418,50,15,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Western Mich.,54,22,32,0,1359,307,50,3,30,164,15,5,97,17,6,32,351.2,206,164,3.26,13,381,142,27,"1,055",343,51,5,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Wichita St.,49,33,16,0,1361,478,78,7,118,407,47,10,188,38,10,9,300.2,213,172,4,5,211,144,23,902,350,37,18,Yes,No,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
Winthrop,55,18,37,0,1372,329,43,7,18,187,100,24,158,39,8,20,347.1,259,190,3.83,4,330,135,24,"1,042",271,79,4,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Wisconsin,47,28,19,0,1223,315,57,13,29,224,42,18,168,48,14,12,318,171,132,2.91,3,200,75,23,954,478,60,21,Yes,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Yale,34,11,23,0,811,191,31,6,24,104,8,4,75,23,2,22,213.1,222,185,6.07,1,116,102,36,640,202,38,8,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Youngstown St.,56,32,24,0,1475,380,69,8,22,218,38,8,126,54,13,49,382.1,178,155,2.84,3,389,205,41,"1,147",364,46,19,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
