Team,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16,,,,,,,,,,,,,,,,,,,
Col. of Charleston,52,15,37,0,1330,288,43,6,17,135,24,8,114,43,9,31,351,220,156,3.11,3,231,175,25,"1,053",447,64,25,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
Colgate,48,20,28,0,1240,304,70,10,25,171,21,6,103,18,9,23,307,224,179,4.08,7,231,120,26,921,366,63,17,No,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Colorado St.,46,18,28,0,1262,368,58,13,28,232,47,10,97,22,14,7,295,219,172,4.08,3,198,130,39,885,353,42,8,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
Columbia,38,12,26,0,988,237,40,2,19,126,20,9,87,28,5,15,244.1,184,137,3.92,3,130,104,35,733,245,49,7,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Coppin St.,45,8,37,0,1113,265,56,10,10,162,21,12,138,23,8,20,274.1,320,249,6.35,0,126,152,26,823,315,77,15,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
Cornell,40,17,23,0,1053,250,37,7,19,143,18,5,116,25,12,16,267.1,183,144,3.77,1,121,77,30,802,326,60,14,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Creighton,42,15,27,0,1099,305,56,6,39,199,22,7,118,29,13,22,267.1,244,188,4.92,2,212,179,26,802,336,48,6,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
CSU Bakersfield,45,8,37,0,1023,197,26,10,9,86,35,10,74,29,6,20,269.2,311,246,6.39,2,94,141,68,809,340,69,27,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
CSUN,54,24,30,0,1376,305,60,9,19,197,35,8,135,53,5,50,361.2,236,168,3.25,7,175,101,60,"1,085",440,81,12,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
Dartmouth,44,20,24,0,1106,267,48,7,15,149,42,11,101,25,6,26,287.1,186,161,3.92,7,185,124,47,862,251,37,13,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Dayton,46,22,24,0,1187,354,41,3,19,181,63,11,116,23,16,45,298,193,146,3.43,8,230,162,32,894,377,54,20,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
Delaware,45,29,16,0,1214,333,68,11,36,239,38,13,153,27,12,17,312.2,159,127,2.84,3,232,88,37,938,362,49,8,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
Delaware St.,36,4,32,0,827,170,18,4,7,83,45,13,79,23,4,12,212.1,280,202,6.66,0,70,124,14,637,305,62,12,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
DePaul,53,29,24,0,1450,410,91,14,54,308,46,4,189,43,16,11,351.1,241,210,4.18,5,241,162,23,"1,054",325,48,13,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
Detroit Mercy,42,6,36,0,1033,215,24,0,19,87,11,5,91,14,3,10,259,264,213,5.76,1,139,85,16,777,251,68,6,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Dixie St.,51,19,32,0,1350,422,69,4,44,246,51,12,135,23,13,15,313.1,287,235,5.25,3,231,117,36,940,355,56,19,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Drake,50,21,29,0,1247,331,58,7,25,240,80,10,183,27,14,12,307.1,269,210,4.78,3,234,240,39,920,276,61,3,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Drexel,47,24,23,0,1320,374,59,8,36,247,36,4,177,24,12,18,318,200,168,3.7,3,152,108,49,954,411,42,17,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
Duke,49,41,8,0,1264,425,79,8,92,365,79,13,149,54,17,18,303,117,86,1.99,8,331,91,26,909,303,34,10,Yes,Yes,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
East Carolina,56,20,36,0,1411,366,68,13,29,239,66,15,168,26,13,23,363.2,314,263,5.06,5,238,188,36,"1,090",367,66,22,No,No,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
Eastern Ill.,55,25,30,0,1476,416,81,6,48,296,44,14,204,19,13,34,359.1,282,217,4.23,5,238,202,47,"1,078",398,82,16,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Eastern Ky.,49,13,36,0,1233,285,55,4,35,185,68,10,167,39,17,11,316.1,281,240,5.31,3,128,140,18,949,416,56,13,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Elon,52,30,22,0,1299,306,49,9,27,195,65,7,158,24,10,23,345,188,147,2.98,10,238,158,28,"1,035",370,54,15,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
ETSU,56,8,48,0,1387,308,42,9,4,126,113,41,107,23,13,20,354,340,281,5.56,0,209,222,72,"1,062",348,63,17,No,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
Evansville,51,24,27,0,1280,315,69,12,22,199,47,8,166,24,5,11,325.2,234,197,4.23,8,242,179,30,977,316,61,11,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Fairfield,47,25,22,0,1194,299,56,4,12,179,62,9,117,17,12,50,317,193,158,3.49,7,184,142,21,951,383,56,18,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Fairleigh Dickinson,49,24,25,0,1304,357,76,2,43,209,40,9,135,33,10,33,328,198,145,3.09,1,313,163,26,984,315,65,8,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
FGCU,51,18,33,0,1308,324,46,10,29,161,31,10,99,26,7,27,336.2,246,207,4.3,4,179,190,18,"1,010",343,47,19,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
FIU,50,19,31,0,1205,270,42,7,10,138,46,13,120,19,10,28,324.1,255,224,4.83,3,202,145,49,973,296,45,14,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Fla. Atlantic,55,29,26,0,1370,326,56,18,20,195,48,13,137,25,16,24,367.1,216,184,3.51,11,268,199,21,"1,102",355,48,18,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Florida,59,43,16,0,1560,481,71,19,33,329,123,14,193,41,30,22,397.2,155,136,2.39,16,336,185,36,"1,193",441,33,24,Yes,Yes,Yes,SEC,12,5,,,,,,,,,,,,,,,,,,,
Florida A&M,49,18,31,0,1270,306,57,7,14,167,68,15,103,22,6,18,320.1,280,177,3.87,2,186,184,33,961,405,110,11,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Florida St.,57,52,5,0,1517,445,80,10,68,344,93,19,226,17,22,8,397,139,116,2.05,18,359,105,26,"1,191",447,29,24,Yes,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Fordham,50,30,20,0,1345,343,39,10,48,205,43,4,133,22,10,19,334.2,168,126,2.64,8,253,167,18,"1,004",324,61,13,Yes,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
Fresno St.,55,19,36,0,1380,350,49,13,26,194,54,13,161,22,10,28,350,300,234,4.68,3,250,154,25,"1,050",350,77,8,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
Furman,55,22,33,0,1366,299,51,7,22,193,51,8,151,37,15,31,355.1,278,209,4.12,5,166,162,22,"1,066",473,90,22,No,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
Ga. Southern,47,13,34,0,1166,268,29,8,34,159,49,12,105,25,8,32,306,279,220,5.03,3,152,102,26,915,351,55,9,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
Gardner-Webb,44,15,29,0,1130,250,51,5,9,130,29,10,121,22,7,3,293.1,208,165,3.94,2,176,130,26,880,368,55,14,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
George Mason,50,24,26,0,1282,363,61,7,13,200,67,18,134,16,12,22,329.2,231,196,4.16,3,167,163,19,989,323,51,20,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
George Washington,51,36,15,0,1334,397,87,6,33,258,35,11,150,21,12,30,339.2,162,145,2.99,9,282,105,20,"1,019",286,28,9,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
Georgetown,43,15,28,0,1130,290,50,3,50,182,13,6,113,37,8,18,280.2,267,233,5.81,2,245,177,40,842,271,47,9,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
Georgia,56,40,16,0,1458,476,77,10,101,387,51,12,190,29,17,18,362.2,241,210,4.05,5,378,206,27,"1,088",318,46,19,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Georgia St.,54,21,33,0,1336,317,51,7,31,192,121,24,130,49,5,24,346.2,252,218,4.4,5,226,155,38,"1,040",399,56,15,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
Georgia Tech,53,37,16,0,1410,401,76,6,35,298,63,12,224,43,10,29,363.2,178,145,2.79,8,348,189,41,"1,091",315,37,15,Yes,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Grambling,47,23,24,0,1179,312,49,6,5,209,95,13,142,25,8,23,284,220,181,4.46,5,141,132,12,852,362,69,7,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Grand Canyon,53,39,14,0,1415,467,71,14,49,331,127,17,125,49,18,17,347.2,185,134,2.7,8,253,123,36,"1,043",418,59,19,Yes,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Green Bay,50,25,25,0,1288,346,56,6,39,212,73,13,145,39,7,30,316,210,158,3.5,3,232,121,39,944,363,72,10,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Hampton,55,19,36,0,1435,345,49,7,15,181,74,16,130,18,6,29,371,240,194,3.66,5,146,110,25,"1,113",565,82,26,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Hartford,49,17,32,0,1262,314,75,9,30,165,43,14,87,21,11,13,312.1,260,202,4.53,4,150,93,23,937,396,83,9,No,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
Harvard,42,22,20,0,1080,268,37,6,16,162,61,8,126,36,12,30,275.2,166,125,3.17,4,141,106,19,826,300,58,8,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Hawaii,42,23,19,0,1080,266,36,4,36,171,29,12,112,36,2,17,278.1,153,133,3.34,6,163,142,24,835,345,51,26,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
Hofstra,48,21,27,0,1293,322,47,6,14,171,36,4,116,29,9,26,319,199,157,3.45,1,231,133,32,957,362,57,21,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
