Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Indiana,56,26,30,0,1402,364,47,9,35,204,112,46,,,,,373,206,149,2.8,372,196,16,1119,327,74,7,No,No,Big Ten,5,0
Indiana St.,54,26,28,0,1481,386,60,7,16,198,65,7,,,,,359,192,157,3.06,169,128,,1077,475,54,22,No,No,MVC,1,0
Iona,46,19,27,0,1206,259,37,7,21,141,12,2,,,,,311.2,199,146,3.28,254,146,,935,376,63,8,No,No,MAAC,1,0
Iowa,53,21,32,0,1370,310,37,11,16,149,49,7,,,,,354,195,119,2.35,319,111,,1062,375,71,9,No,No,Big Ten,5,0
Iowa St.,56,23,33,0,1524,392,61,10,45,188,44,9,,,,,364.2,268,217,4.17,207,172,,1094,448,71,17,No,No,Big 12,4,1
IUPUI,49,16,33,0,1243,292,34,11,14,145,40,11,,,,,310,259,211,4.76,183,158,,930,358,56,9,No,No,Horizon,1,0
Jackson St.,40,9,31,0,945,238,49,9,8,130,54,12,,,,,226,334,258,7.99,109,126,,678,269,113,8,No,No,SWAC,1,0
Jacksonville,56,27,29,0,1386,351,46,2,29,200,106,20,,,,,375,178,150,2.8,176,121,,1125,488,66,21,No,No,Atlantic Sun,1,0
Jacksonville St.,56,33,23,0,1541,424,78,9,37,242,59,9,,,,,374.1,218,167,3.12,259,215,,1123,508,67,17,Auto,No,OVC,1,0
James Madison,54,42,12,0,1452,456,75,3,82,344,32,15,213,28,10,37,362.1,152,102,1.97,297,92,,1087,360,64,12,At-large,No,CAA,2,0
Kansas,52,27,25,0,1382,382,79,4,39,220,30,4,,,,,350,216,182,3.64,242,163,,1050,419,37,13,No,No,Big 12,4,1
Kennesaw St.,54,39,15,0,1409,417,78,9,45,262,43,9,,,,,354.2,147,105,2.07,355,97,,1064,359,52,15,Auto,No,Atlantic Sun,1,0
Kent St.,52,29,23,0,1437,443,71,13,43,284,17,4,,,,,332.1,262,235,4.95,163,195,,997,395,42,15,No,No,MAC,1,0
Kentucky,50,31,19,0,1320,405,53,8,46,263,68,19,,,,,329.1,172,143,3.04,244,135,,988,487,34,21,At-large,No,SEC,13,9
La Salle,46,12,34,0,1177,262,55,1,31,158,24,13,,,,,296.2,254,196,4.62,174,135,,890,377,80,11,No,No,Atlantic 10,1,0
La.-Monroe,53,24,29,0,1465,443,69,7,15,307,86,16,,,,,348.1,267,214,4.3,124,109,16,1045,416,59,22,No,No,Sun Belt,2,0
Lafayette,49,7,42,0,1210,270,59,4,24,165,41,20,,,,,293.2,328,270,6.44,74,139,,881,394,60,13,No,No,Patriot,1,0
Lamar University,56,28,28,0,1495,422,64,18,21,254,77,25,,,,,374,255,196,3.67,140,164,,1122,517,78,30,No,No,Southland,1,0
Lehigh,51,24,26,1,1375,352,41,5,13,173,111,13,,,,,347,214,164,3.31,269,139,,1041,351,64,13,No,No,Patriot,1,0
Liberty,59,47,12,0,1582,483,101,19,35,297,96,16,,,,,395.1,135,117,2.07,335,102,,1186,403,36,21,Auto,No,Atlantic Sun,1,0
Lipscomb,50,33,17,0,1356,379,63,4,32,197,72,13,,,,,345.1,126,102,2.07,252,116,,1036,319,39,16,No,No,Atlantic Sun,1,0
LIU Brooklyn,51,22,29,0,1391,415,54,5,25,241,28,8,,,,,325,319,272,5.86,196,177,,975,381,55,12,No,No,Northeast,1,0
LMU (CA),52,28,23,1,1326,335,63,3,34,176,21,9,,,,,356.1,174,153,3.01,254,100,,1069,408,52,14,No,No,WCC,1,0
Long Beach St.,54,42,12,0,1513,465,89,9,37,307,25,6,,,,,370,142,119,2.25,327,163,,1109,383,39,24,At-large,No,Big West,2,0
Longwood,54,38,16,0,1490,419,67,12,34,258,78,19,,,,,378.1,145,119,2.2,243,128,,1135,376,60,22,No,No,Big South,1,0
Louisiana,52,38,14,0,1460,422,65,6,21,235,75,23,,,,,383.2,136,106,1.93,314,152,,1151,474,50,24,At-large,No,Sun Belt,2,0
Louisiana Tech,57,34,23,0,1426,392,66,9,27,261,129,19,,,,,372.2,187,161,3.02,228,133,,1118,414,52,16,No,No,C-USA,3,0
Louisville,53,33,20,0,1445,437,66,8,27,285,51,6,,,,,352,223,173,3.44,267,211,,1056,358,68,13,No,No,ACC,2,1
Loyola Chicago,50,23,27,0,1283,321,53,9,17,164,19,8,,,,,328.1,159,128,2.73,188,100,,985,459,60,14,No,No,MVC,1,0
LSU,55,41,14,0,1462,385,60,5,36,218,65,6,,,,,393.2,97,80,1.42,356,102,,1181,441,42,15,At-large,No,SEC,13,9
Maine,47,22,25,0,1214,280,33,8,16,143,21,13,,,,,313.1,181,132,2.95,233,116,,940,342,69,10,No,No,America East,1,0
Manhattan,53,28,25,0,1431,361,70,5,31,216,41,13,,,,,364,189,151,2.9,229,128,,1092,455,60,23,No,No,MAAC,1,0
Marist,59,27,32,0,1575,408,59,7,29,233,67,18,,,,,388.1,218,187,3.37,201,205,,1165,551,53,33,No,No,MAAC,1,0
Marshall,55,25,29,1,1445,396,69,8,24,223,116,32,,,,,369,241,200,3.79,202,176,,1107,468,74,20,No,No,C-USA,3,0
Maryland,55,18,37,0,1391,328,57,10,19,155,26,10,,,,,357,316,244,4.78,164,194,,1071,553,92,18,No,No,Big Ten,5,0
Massachusetts,49,35,14,0,1338,424,50,9,31,290,29,5,164,53,7,39,325.1,142,110,2.37,279,108,,976,395,50,16,No,No,Atlantic 10,1,0
McNeese,59,40,19,0,1510,443,71,10,59,349,142,39,274,45,25,24,393.1,243,194,3.45,194,143,,1177,434,76,17,Auto,No,Southland,1,0
Memphis,58,37,21,0,1520,468,58,21,23,288,85,23,,,,,381,173,137,2.52,303,133,,1143,414,60,19,No,No,AAC,4,0
Mercer,52,33,19,0,1376,392,60,3,45,247,78,9,,,,,348,180,150,3.02,254,118,,1044,270,58,6,No,No,Southern,1,0
Miami (OH),49,24,25,0,1308,353,61,8,29,219,33,9,,,,,328.1,228,195,4.16,265,130,,985,363,47,11,No,No,MAC,1,0
Michigan,54,43,11,0,1420,436,73,8,43,299,62,13,182,40,8,23,351.1,78,71,1.41,375,90,,1054,394,22,8,At-large,No,Big Ten,5,0
Michigan St.,52,26,26,0,1342,357,71,8,35,209,36,15,,,,,336.2,214,164,3.41,319,152,,1010,303,62,19,No,No,Big Ten,5,0
Middle Tenn.,59,39,20,0,1541,469,62,7,35,262,93,14,,,,,391.2,194,150,2.68,219,123,,1175,568,75,15,Auto,No,C-USA,3,0
Minnesota,54,39,15,0,1460,425,76,10,53,313,60,7,,,,,356,128,96,1.89,318,96,12,1068,473,54,15,Auto,No,Big Ten,5,0
Mississippi St.,57,36,21,0,1507,431,83,17,49,286,48,8,,,,,378.1,148,108,2,396,161,,1135,431,71,14,At-large,No,SEC,13,9
Mississippi Val.,45,14,31,0,1123,274,46,9,8,158,25,7,,,,,273,303,244,6.26,126,164,,819,321,87,8,No,No,SWAC,1,0
Missouri,55,28,27,0,1463,421,78,3,55,265,61,13,,,,,360.2,240,184,3.57,209,154,,1082,518,51,23,At-large,No,SEC,13,9
Missouri St.,52,32,20,0,1410,383,47,16,22,220,64,10,,,,,349.2,183,147,2.94,271,135,,1049,414,45,22,No,No,MVC,1,0
Monmouth,46,32,14,0,1246,332,56,16,39,215,40,11,,,,,319.1,168,132,2.89,262,123,,958,356,56,16,Auto,No,MAAC,1,0
Montana,55,25,30,0,1455,364,38,8,17,190,27,11,,,,,367.2,196,162,3.08,282,93,,1104,395,47,8,No,No,Big Sky,1,0
Morehead St.,51,28,23,0,1328,320,35,2,30,156,36,8,,,,,351,149,116,2.31,373,131,,1053,302,48,10,No,No,OVC,1,0
Morgan St.,45,28,17,0,1170,316,54,11,12,209,76,19,,,,,304.1,148,105,2.42,231,117,8,913,353,58,21,No,No,MEAC,1,0
Mt. St. Mary's,44,17,26,1,1097,255,49,3,20,136,43,11,,,,,280.1,218,188,4.69,145,174,,841,367,52,37,No,No,Northeast,1,0
Murray St.,52,16,36,0,1386,345,59,12,23,197,48,10,,,,,349.2,221,183,3.66,165,108,10,1052,484,69,15,No,No,OVC,1,0
N.C. A&T,44,7,37,0,1160,287,41,6,6,118,15,7,,,,,285.2,319,225,5.51,156,135,,857,351,111,17,No,No,MEAC,1,0
N.C. Central,46,20,26,0,1172,282,28,3,19,145,44,20,,,,,302,176,137,3.18,335,132,,906,284,59,12,No,No,MEAC,1,0
NC State,54,23,31,0,1346,336,53,7,36,195,39,7,,,,,349,241,175,3.51,230,190,,1047,544,58,24,No,No,ACC,2,1
Nebraska,54,31,23,0,1396,372,67,6,43,231,53,9,,,,,352.2,226,202,4.01,217,165,,1058,410,41,18,No,No,Big Ten,5,0
Nevada,50,25,25,0,1447,458,76,3,44,313,30,4,180,32,22,21,336.1,265,203,4.22,238,177,,1009,375,63,15,No,No,MWC,1,0
